__run_id,__done,function_name,version,cpu_time,memory_usage,avg_cpu_time,avg_memory_usage,total_cpu_time,total_memory_usage,total_energy
run_4_repetition_12,DONE,Coin Change,normal,0.004531;0.099538;5.984771,6.12;5.35;4.64,2.029613,5.37,6.091966,16.11,53.694241
run_5_repetition_12,DONE,Coin Change,memoized,0.001146;0.000631;0.000907,6.55;5.68;5.31,0.000895,5.85,0.006418,17.54,0.000000
run_6_repetition_12,DONE,Levenshtein Distance,normal,0.009344;1.374672;7.857192,6.75;4.09;2.46,3.080402,4.43,9.244846,13.30,78.998393
run_7_repetition_12,DONE,Levenshtein Distance,memoized,0.001379;0.000600;0.001009,9.70;10.81;7.00,0.000996,9.17,0.005238,27.52,0.000000
run_8_repetition_12,DONE,Factorial,normal,0.002333;0.495910;1.606846,41.23;2120.77;3814.47,0.701696,1992.16,2.108608,5976.47,20.679792
run_9_repetition_12,DONE,Factorial,memoized,0.002688;0.593575;0.437727,52.83;16975.85;41979.58,0.344663,19669.42,1.036822,59008.26,8.471667
run_10_repetition_12,DONE,Matrix Chain Multiplication,normal,0.007817;0.324613;2.261086,4.64;3.10;2.31,0.864505,3.35,2.596112,10.04,22.705629
run_11_repetition_12,DONE,Matrix Chain Multiplication,memoized,0.002108;0.002113;0.001359,6.19;5.53;6.50,0.001860,6.07,0.008306,18.22,0.000000
run_12_repetition_12,DONE,Can I Win,normal,0.002720;0.655101;1.539364,3.27;2.38;1.46,0.732395,2.37,2.200738,7.12,19.817868
run_13_repetition_12,DONE,Can I Win,memoized,0.001630;0.039617;0.081542,6.41;142.80;289.01,0.040930,146.07,0.125727,438.22,0.330323
run_14_repetition_12,DONE,K-equal Sum Partitions,normal,0.001318;0.028335;0.111030,10.26;143.49;291.90,0.046894,148.55,0.144760,445.65,0.446281
run_15_repetition_12,DONE,K-equal Sum Partitions,memoized,0.001460;0.027455;0.179327,10.08;159.39;332.10,0.069414,167.19,0.211917,501.57,0.337542
run_16_repetition_12,DONE,All Possible Full Binary Trees,normal,0.002765;0.785852;2.360226,17.25;19781.12;65674.71,1.049614,28491.03,3.152695,85473.08,25.947165
run_17_repetition_12,DONE,All Possible Full Binary Trees,memoized,0.001491;0.083561;0.288531,5.23;3709.71;9214.40,0.124528,4309.78,0.375810,12929.34,0.863354
run_0_repetition_13,DONE,Fibonacci,normal,0.000750;0.667354;4.103615,3.66;8.51;2.38,1.590573,4.85,4.776219,14.55,47.464352
