__run_id,__done,function_name,version,cpu_time,memory_usage,avg_cpu_time,avg_memory_usage,total_cpu_time,total_memory_usage,total_energy
run_8_repetition_8,DONE,Factorial,normal,0.002075;0.558424;1.593902,41.23;2120.77;3814.47,0.718134,1992.16,2.156583,5976.47,18.375697
run_9_repetition_8,DONE,Factorial,memoized,0.001812;0.602207;0.439998,52.83;16975.85;41979.58,0.348006,19669.42,1.047931,59008.26,10.367347
run_10_repetition_8,DONE,Matrix Chain Multiplication,normal,0.009619;0.313445;2.395829,4.56;3.07;2.20,0.906298,3.28,2.721632,9.83,19.428673
run_11_repetition_8,DONE,Matrix Chain Multiplication,memoized,0.001980;0.001804;0.001643,6.25;5.53;6.47,0.001809,6.08,0.007932,18.25,0.000000
run_12_repetition_8,DONE,Can I Win,normal,0.003026;0.618965;1.600035,3.27;2.38;1.46,0.740675,2.37,2.225625,7.12,18.121063
run_13_repetition_8,DONE,Can I Win,memoized,0.001871;0.042699;0.045331,6.41;142.80;289.01,0.029967,146.07,0.093545,438.22,0.433213
run_14_repetition_8,DONE,K-equal Sum Partitions,normal,0.001307;0.026111;0.113047,10.26;143.49;291.90,0.046822,148.55,0.143153,445.65,0.222995
run_15_repetition_8,DONE,K-equal Sum Partitions,memoized,0.000959;0.024883;0.168788,10.08;159.39;332.10,0.064877,167.19,0.198116,501.57,0.285338
run_16_repetition_8,DONE,All Possible Full Binary Trees,normal,0.002973;0.693224;2.464763,17.25;19781.12;65674.71,1.053654,28491.03,3.164775,85473.08,29.382880
run_17_repetition_8,DONE,All Possible Full Binary Trees,memoized,0.001244;0.085396;0.282472,5.23;3709.71;9214.40,0.123037,4309.78,0.371881,12929.34,0.775101
run_0_repetition_9,DONE,Fibonacci,normal,0.000522;0.601596;4.313913,3.66;8.51;2.38,1.638677,4.85,4.920718,14.55,43.987671
run_1_repetition_9,DONE,Fibonacci,memoized,0.000617;0.000574;0.000323,4.02;10.20;3.99,0.000504,6.07,0.004873,18.20,0.000000
run_2_repetition_9,DONE,Knapsack,normal,0.000499;0.238617;0.513277,1.92;12.11;1.69,0.250798,5.24,0.755718,15.72,2.150466
run_3_repetition_9,DONE,Knapsack,memoized,0.000732;0.014285;0.018386,2.82;120.63;264.07,0.011134,129.17,0.037001,387.51,0.074346
run_4_repetition_9,DONE,Coin Change,normal,0.002179;0.107595;5.837286,6.12;5.35;4.64,1.982353,5.37,5.950216,16.11,48.102123
run_5_repetition_9,DONE,Coin Change,memoized,0.001056;0.000861;0.000794,6.55;5.68;5.31,0.000904,5.85,0.005430,17.54,0.000000
run_6_repetition_9,DONE,Levenshtein Distance,normal,0.010396;0.025338;8.497899,6.75;2.17;4.27,2.844544,4.40,8.537544,13.19,69.082751
run_7_repetition_9,DONE,Levenshtein Distance,memoized,0.001181;0.000338;0.001148,9.70;4.99;9.38,0.000889,8.03,0.005330,24.08,0.000000
run_8_repetition_9,DONE,Factorial,normal,0.002324;0.493868;1.712116,41.23;2120.77;3814.47,0.736103,1992.16,2.212337,5976.47,18.021126
run_9_repetition_9,DONE,Factorial,memoized,0.002637;0.565235;0.329164,52.83;16975.85;41979.58,0.299012,19669.42,0.900173,59008.26,4.843184
run_10_repetition_9,DONE,Matrix Chain Multiplication,normal,0.009527;0.325413;2.337598,4.56;3.07;2.20,0.890846,3.28,2.675478,9.83,20.239542
run_11_repetition_9,DONE,Matrix Chain Multiplication,memoized,0.001968;0.001357;0.001834,6.25;5.53;6.47,0.001720,6.08,0.008522,18.25,0.000000
run_12_repetition_9,DONE,Can I Win,normal,0.003275;0.811725;1.694177,3.27;2.38;1.46,0.836393,2.37,2.513129,7.12,15.722235
run_13_repetition_9,DONE,Can I Win,memoized,0.001824;0.037921;0.065299,6.41;142.80;289.01,0.035015,146.07,0.108894,438.22,0.349337
run_14_repetition_9,DONE,K-equal Sum Partitions,normal,0.001354;0.024071;0.112848,10.26;143.49;291.90,0.046091,148.55,0.142109,445.65,0.237356
run_15_repetition_9,DONE,K-equal Sum Partitions,memoized,0.001241;0.023206;0.202437,10.08;159.39;332.10,0.075628,167.19,0.229740,501.57,0.241833
run_16_repetition_9,DONE,All Possible Full Binary Trees,normal,0.003435;0.682961;2.423293,17.25;19781.12;65674.71,1.036563,28491.03,3.112942,85473.08,32.683489
run_17_repetition_9,DONE,All Possible Full Binary Trees,memoized,0.001284;0.079552;0.259624,5.23;3709.71;9214.40,0.113487,4309.78,0.342584,12929.34,0.602680
run_0_repetition_10,DONE,Fibonacci,normal,0.000553;0.633537;4.169487,3.66;8.51;2.38,1.601192,4.85,4.806218,14.55,38.707199
run_1_repetition_10,DONE,Fibonacci,memoized,0.000706;0.000405;0.000382,4.02;10.20;3.99,0.000497,6.07,0.004067,18.20,0.000000
run_2_repetition_10,DONE,Knapsack,normal,0.000511;0.227224;0.580211,1.92;12.11;1.69,0.269315,5.24,0.810631,15.72,2.437012
run_3_repetition_10,DONE,Knapsack,memoized,0.000647;0.012214;0.018605,2.82;120.63;264.07,0.010489,129.17,0.034510,387.51,0.069860
run_4_repetition_10,DONE,Coin Change,normal,0.004550;0.107773;5.814736,6.12;5.35;4.64,1.975686,5.37,5.929427,16.11,50.005637
run_5_repetition_10,DONE,Coin Change,memoized,0.000902;0.000802;0.000984,6.55;5.68;5.31,0.000896,5.85,0.005258,17.54,0.000000
run_6_repetition_10,DONE,Levenshtein Distance,normal,0.010187;0.031031;8.198312,6.75;2.17;4.27,2.746510,4.40,8.243377,13.19,74.130986
run_7_repetition_10,DONE,Levenshtein Distance,memoized,0.001416;0.000601;0.001264,9.70;4.99;9.38,0.001094,8.03,0.007091,24.08,0.000000
run_8_repetition_10,DONE,Factorial,normal,0.001915;0.505931;1.682818,41.23;2120.77;3814.47,0.730221,1992.16,2.193732,5976.47,19.113840
run_9_repetition_10,DONE,Factorial,memoized,0.002690;0.563277;0.396227,52.83;16975.85;41979.58,0.320731,19669.42,0.966057,59008.26,6.465780
run_10_repetition_10,DONE,Matrix Chain Multiplication,normal,0.010279;0.293720;2.242939,4.56;3.07;2.20,0.848979,3.28,2.550414,9.83,17.441922
run_11_repetition_10,DONE,Matrix Chain Multiplication,memoized,0.001985;0.002306;0.001271,6.25;5.53;6.47,0.001854,6.08,0.008669,18.25,0.000000
run_12_repetition_10,DONE,Can I Win,normal,0.003298;0.686608;1.591635,3.27;2.38;1.46,0.760514,2.37,2.285092,7.12,22.823400
run_13_repetition_10,DONE,Can I Win,memoized,0.001851;0.039694;0.066993,6.41;142.80;289.01,0.036179,146.07,0.112374,438.22,0.376978
run_14_repetition_10,DONE,K-equal Sum Partitions,normal,0.000959;0.023610;0.114946,10.26;143.49;291.90,0.046505,148.55,0.142666,445.65,0.238817
run_15_repetition_10,DONE,K-equal Sum Partitions,memoized,0.001001;0.028458;0.179618,10.08;159.39;332.10,0.069692,167.19,0.212209,501.57,0.311881
run_16_repetition_10,DONE,All Possible Full Binary Trees,normal,0.003368;0.721713;2.396344,17.25;19781.12;65674.71,1.040475,28491.03,3.124621,85473.08,27.790319
run_17_repetition_10,DONE,All Possible Full Binary Trees,memoized,0.001462;0.084454;0.262403,5.23;3709.71;9214.40,0.116106,4309.78,0.351051,12929.34,0.826727
run_0_repetition_11,DONE,Fibonacci,normal,0.000752;0.637004;4.172993,3.66;8.51;2.38,1.603583,4.85,4.814134,14.55,44.325041
run_1_repetition_11,DONE,Fibonacci,memoized,0.000676;0.000630;0.000376,4.02;10.20;3.99,0.000561,6.07,0.005414,18.20,0.000000
